sku,category,brand,product_type,gender,color,material_upper,material_shell,material,material_lining,sole_material,closure,membrane,waterproof_rating,certification,fit,weight_g,size_range,dimensions,capacity_l,care_instructions,source,season,technology,sleeves,neckline,graphics,team_branding,licensing,country_of_manufacture,audience,cooling_capacity,compressor,energy_features,noise_level,smart_features,filters,airflow,cleaning,operating_modes,installation,warranty,design,voltage_protection,size,weight,camera,photo_resolution,video_resolution,audio,microphones,battery_life,charging_case,storage,storage_capacity,connectivity
FW-1001,footwear,Norvik,hiking boot,mens,slate grey,nubuck leather,,,,vibram rubber,lace-up,Gore-Tex,10000 mm,,,620,40-47,,,"wipe clean with a damp cloth, treat with wax regularly",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW-1004,footwear,Norvik,trail runner,womens,coral,engineered mesh,,,,EVA foam,lace-up,,,,,245,36-42,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW-1009,footwear,Norvik,winter boot,mens,black,waxed leather,,,,rubber,lace-up,Norvik DryShell,8000 mm,,,890,40-47,,,"wipe clean with a damp cloth, treat with wax regularly",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW-1011,footwear,Norvik,chelsea boot,mens,black,Suede and Nubuck,,,,leather,pull-on,,,,,540,40-46,,,brush clean when dry,sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FW-1016,footwear,Norvik,hiking shoe,unisex,forest green,recycled ripstop,,,,vibram rubber,lace-up,Gore-Tex,12000 mm,GRS certified,,430,36-47,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW-2001,outerwear,Norvik,rain jacket,mens,forest green,,recycled polyester,,mesh,,zip,Gore-Tex,20000 mm,GRS certified,regular,410,S-XXL,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW-2008,outerwear,Norvik,fleece,unisex,oatmeal,,recycled polyester fleece,,,,zip,,,,regular,380,XS-XXL,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW-2012,outerwear,Norvik,windbreaker,mens,citrus,,ripstop nylon,,,,zip,,,,regular,180,S-XXL,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OW-2016,outerwear,Norvik,insulated jacket,unisex,stone,,Full-Grain Leather:,,fleece,,zip,,,,regular,620,XS-XXL,,,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-3001,accessories,Norvik,daypack,,charcoal,,,recycled ripstop nylon,,,,,,GRS certified,,540,,45 x 28 x 18 cm,22,"machine wash 30, do not tumble dry",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-3004,accessories,Norvik,beanie,,mustard,,,merino wool,,,,,,,,85,,,,"hand wash cold, dry flat",sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC-3009,accessories,Norvik,belt,,brown,,,Nappa Leather,,,,,,,,110,,110 cm,,wipe clean,sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
top-701242724,apparel_tops,PUMA,pre-match 1/4-zip top,kids; gender not specified,PUMA White / Blazing Blue,100% polyester,,,,not applicable — apparel item,1/4 zip,,,,regular fit,,,,,,user,2026/27,PUMA dryCELL sweat-wicking technology,long sleeves; set-in construction,crewneck,seasonal graphic on the front and back,Manchester City Crest on the left chest; PUMA Cat logo on the right chest,official licensed product,Vietnam,young Manchester City supporters,,,,,,,,,,,,,,,,,,,,,,,,,
S4-Q24K23QE,home_appliances_air_conditioners,LG,DUALCOOL inverter split air conditioner,,White,,,,,,,,,,,,,998 × 345 × 210 mm (W × H × D),,,user,,,,,,,,,,"24,000 BTU",DUAL Inverter Compressor,Energy Saving & Fast Cooling; Power Saving Operation; Volt Care,Low Noise,LG ThinQ,Dual Protection Filter; Multi Protection Filter,Vertical 6-step louver control,Auto Cleaning,GEN Mode; Silent Mode; Comfort Sleep,Quick and Easy Installation,10-year warranty on DUAL Inverter Compressor,Simple and slim design with hidden display,Volt Care technology,,,,,,,,,,,,
8056262721377,electronics_smart_glasses,Ray-Ban | Meta,AI smart glasses,Unisex,Black frame with Clear/Grey lenses,Injected frame,,,,,,,IPX4 water resistance,,,,,,,,user,,,,,,,,,,,,,,"Meta AI, voice commands, live translation, hands-free calls and messaging",,,,,,,,,50-22 lens/bridge size,133 g,12MP ultra-wide camera,3024 × 4032 pixels,Up to 3K at 30fps; up to 1080p at 60fps,Open-ear audio with two custom-built speakers,Five-microphone array,Up to 8 hours per charge,Up to 48 additional hours,32GB,1000+ photos; 100+ 30-second videos,Bluetooth 5.3; Wi-Fi 6
